warehouse_id,warehouse_name,address,latitude,longitude,sku_id,hs_code,sku_description,quantity,shipment_id,shipment_status,origin,origin_latitude,origin_longitude,destination,destination_latitude,destination_longitude,carrier,eta,last_updated
WH003,Regional Hub C,789 Cargo Blvd,41.8781,-87.6298,SKU002,940510,LED Bulbs,488,SHIP101,In Transit,Regional Hub C,41.8781,-87.6298,Walmart Store #23,32.7767,-96.797,UPS,2025-07-12 06:35:49,2025-07-06 19:35:49
WH004,West Coast Hub D,321 Supply St,37.7749,-122.4194,SKU008,730890,Steel Structures,56,SHIP102,In Transit,West Coast Hub D,37.7749,-122.4194,Walmart Fulfillment Center,41.8781,-87.6298,UPS,2025-07-11 06:35:49,2025-07-07 01:35:49
WH003,Regional Hub C,789 Cargo Blvd,41.8781,-87.6298,SKU001,854239,Electronic Components,912,SHIP103,In Transit,Regional Hub C,41.8781,-87.6298,Walmart Store #45,39.7392,-104.9903,DHL,2025-07-09 06:35:49,2025-07-06 21:35:49
WH004,West Coast Hub D,321 Supply St,37.7749,-122.4194,SKU001,854239,Electronic Components,450,SHIP104,In Transit,West Coast Hub D,37.7749,-122.4194,Walmart Fulfillment Center,41.8781,-87.6298,FedEx,2025-07-10 06:35:49,2025-07-07 01:35:49
WH004,West Coast Hub D,321 Supply St,37.7749,-122.4194,SKU008,730890,Steel Structures,230,SHIP105,Delayed,West Coast Hub D,37.7749,-122.4194,Walmart Fulfillment Center,41.8781,-87.6298,DHL,2025-07-10 06:35:49,2025-07-06 18:35:49
WH002,Backup Warehouse B,456 Logistic Lane,34.0522,-118.2437,SKU007,852872,Monitors,146,SHIP106,Delivered,Backup Warehouse B,34.0522,-118.2437,Walmart Store #23,32.7767,-96.797,DHL,2025-07-12 06:35:49,2025-07-07 05:35:49
WH001,Main Warehouse A,123 Industrial Park,40.7128,-74.006,SKU004,190590,Snacks,789,SHIP107,Delayed,Main Warehouse A,40.7128,-74.006,Walmart Fulfillment Center,41.8781,-87.6298,Amazon Logistics,2025-07-10 06:35:49,2025-07-07 02:35:49
WH004,West Coast Hub D,321 Supply St,37.7749,-122.4194,SKU006,611020,Sweaters,899,SHIP108,Delayed,West Coast Hub D,37.7749,-122.4194,Walmart Store #45,39.7392,-104.9903,UPS,2025-07-12 06:35:49,2025-07-06 22:35:49
WH001,Main Warehouse A,123 Industrial Park,40.7128,-74.006,SKU005,420292,Handbags,685,SHIP109,Delivered,Main Warehouse A,40.7128,-74.006,Walmart Distribution Hub,29.7604,-95.3698,DHL,2025-07-08 06:35:49,2025-07-07 02:35:49
WH004,West Coast Hub D,321 Supply St,37.7749,-122.4194,SKU002,940510,LED Bulbs,180,SHIP110,Delayed,West Coast Hub D,37.7749,-122.4194,Walmart Distribution Hub,29.7604,-95.3698,UPS,2025-07-12 06:35:49,2025-07-06 20:35:49
WH003,Regional Hub C,789 Cargo Blvd,41.8781,-87.6298,SKU002,940510,LED Bulbs,66,SHIP111,Delivered,Regional Hub C,41.8781,-87.6298,Walmart Distribution Hub,29.7604,-95.3698,DHL,2025-07-08 06:35:49,2025-07-07 00:35:49
WH002,Backup Warehouse B,456 Logistic Lane,34.0522,-118.2437,SKU007,852872,Monitors,548,SHIP112,Delivered,Backup Warehouse B,34.0522,-118.2437,Walmart Store #45,39.7392,-104.9903,FedEx,2025-07-11 06:35:49,2025-07-06 23:35:49
WH004,West Coast Hub D,321 Supply St,37.7749,-122.4194,SKU007,852872,Monitors,409,SHIP113,Delivered,West Coast Hub D,37.7749,-122.4194,Walmart Distribution Hub,29.7604,-95.3698,FedEx,2025-07-09 06:35:49,2025-07-06 21:35:49
WH004,West Coast Hub D,321 Supply St,37.7749,-122.4194,SKU002,940510,LED Bulbs,162,SHIP114,In Transit,West Coast Hub D,37.7749,-122.4194,Walmart Store #23,32.7767,-96.797,Amazon Logistics,2025-07-08 06:35:49,2025-07-06 21:35:49
WH004,West Coast Hub D,321 Supply St,37.7749,-122.4194,SKU008,730890,Steel Structures,223,SHIP115,In Transit,West Coast Hub D,37.7749,-122.4194,Walmart Distribution Hub,29.7604,-95.3698,Amazon Logistics,2025-07-10 06:35:49,2025-07-07 05:35:49
WH003,Regional Hub C,789 Cargo Blvd,41.8781,-87.6298,SKU005,420292,Handbags,590,SHIP116,Delivered,Regional Hub C,41.8781,-87.6298,Walmart Store #23,32.7767,-96.797,UPS,2025-07-12 06:35:49,2025-07-06 22:35:49
WH001,Main Warehouse A,123 Industrial Park,40.7128,-74.006,SKU002,940510,LED Bulbs,94,SHIP117,In Transit,Main Warehouse A,40.7128,-74.006,Walmart Store #45,39.7392,-104.9903,DHL,2025-07-08 06:35:49,2025-07-07 00:35:49
WH001,Main Warehouse A,123 Industrial Park,40.7128,-74.006,SKU004,190590,Snacks,978,SHIP118,Delayed,Main Warehouse A,40.7128,-74.006,Walmart Store #45,39.7392,-104.9903,FedEx,2025-07-09 06:35:49,2025-07-06 20:35:49
WH001,Main Warehouse A,123 Industrial Park,40.7128,-74.006,SKU007,852872,Monitors,620,SHIP119,Delayed,Main Warehouse A,40.7128,-74.006,Walmart Distribution Hub,29.7604,-95.3698,UPS,2025-07-11 06:35:49,2025-07-07 01:35:49
WH001,Main Warehouse A,123 Industrial Park,40.7128,-74.006,SKU005,420292,Handbags,90,SHIP120,Delivered,Main Warehouse A,40.7128,-74.006,Walmart Distribution Hub,29.7604,-95.3698,Amazon Logistics,2025-07-12 06:35:49,2025-07-07 03:35:49
